,instance,execuation_time,num_of_steps,number_of_agents
1,Test_11/Level_0.pkl,30.150306224822998,371,200
2,Test_8/Level_0.pkl,3.7875630855560303,193,80
3,Test_10/Level_0.pkl,8.446839094161987,299,100
4,Test_0/Level_1.pkl,0.08761215209960938,38,5
5,Test_3/Level_1.pkl,0.7868461608886719,124,50
6,Test_1/Level_1.pkl,0.12903499603271484,40,10
7,Test_6/Level_0.pkl,3.1440372467041016,158,80
8,Test_7/Level_1.pkl,3.747767210006714,206,80
9,Test_4/Level_0.pkl,1.3440051078796387,111,80
10,Test_5/Level_1.pkl,2.0230209827423096,115,80
11,Test_9/Level_1.pkl,13.052268981933594,393,100
12,Test_7/Level_0.pkl,3.2763400077819824,189,80
13,Test_2/Level_0.pkl,0.3112051486968994,73,20
14,Test_2/Level_1.pkl,0.24749112129211426,58,20
15,Test_13/Level_0.pkl,210.96783804893494,773,400
16,Test_1/Level_0.pkl,0.10570812225341797,39,10
17,Test_6/Level_1.pkl,3.3928558826446533,214,80
18,Test_4/Level_1.pkl,1.2151870727539062,88,80
19,Test_12/Level_0.pkl,42.44732594490051,421,200
20,Test_8/Level_1.pkl,3.9122090339660645,231,80
21,Test_5/Level_0.pkl,2.1902990341186523,158,80
22,Test_0/Level_0.pkl,0.07403898239135742,34,5
23,Test_11/Level_1.pkl,45.814777851104736,735,200
24,Test_13/Level_1.pkl,231.3366038799286,953,400
25,Test_3/Level_0.pkl,0.8127181529998779,83,50
26,Test_9/Level_0.pkl,8.54512619972229,223,100
27,Test_4/Level_0.pkl,1.3452208042144775,137,80
28,Test_1/Level_0.pkl,0.10697698593139648,43,10
29,Test_1/Level_1.pkl,0.12387394905090332,40,10
30,Test_6/Level_1.pkl,3.359088182449341,199,80
31,Test_11/Level_0.pkl,30.139799118041992,350,200
32,Test_10/Level_0.pkl,7.903730154037476,298,100
33,Test_2/Level_1.pkl,0.29309701919555664,57,20
34,Test_8/Level_0.pkl,3.7856602668762207,186,80
35,Test_3/Level_0.pkl,0.7798821926116943,80,50
36,Test_9/Level_0.pkl,8.514454126358032,233,100
37,Test_13/Level_0.pkl,211.26868605613708,819,400
38,Test_11/Level_0.pkl,35.00695610046387,352,200
39,Test_10/Level_1.pkl,10.319103002548218,332,100
40,Test_3/Level_1.pkl,0.810981035232544,143,50
41,Test_13/Level_1.pkl,244.82794284820557,805,400
42,Test_6/Level_0.pkl,3.1842048168182373,193,80
43,Test_9/Level_1.pkl,12.473429918289185,407,100
44,Test_8/Level_1.pkl,3.9695639610290527,227,80
45,Test_1/Level_0.pkl,0.08787822723388672,39,10
46,Test_4/Level_0.pkl,1.3553428649902344,132,80
47,Test_5/Level_0.pkl,2.2248830795288086,163,80
48,Test_1/Level_1.pkl,0.10679817199707031,40,10
49,Test_0/Level_1.pkl,0.06341195106506348,38,5
50,Test_7/Level_1.pkl,3.568233013153076,227,80
51,Test_10/Level_0.pkl,8.48936915397644,300,100
52,Test_7/Level_0.pkl,3.176193952560425,181,80
53,Test_5/Level_1.pkl,2.017746925354004,138,80
54,Test_0/Level_0.pkl,0.04900932312011719,34,5
55,Test_12/Level_1.pkl,73.82761597633362,693,200
56,Test_6/Level_1.pkl,3.5783231258392334,214,80
57,Test_2/Level_0.pkl,0.31461119651794434,75,20
58,Test_4/Level_1.pkl,1.247560977935791,87,80
59,Test_12/Level_0.pkl,44.499086141586304,386,200
60,Test_1/Level_0.pkl,0.1089162826538086,39,10
61,Test_9/Level_1.pkl,19.51569890975952,390,100
62,Test_7/Level_1.pkl,6.024691104888916,203,80
63,Test_12/Level_0.pkl,53.13394808769226,430,200
64,Test_4/Level_0.pkl,1.4617371559143066,122,80
65,Test_5/Level_0.pkl,5.450167894363403,171,80
66,Test_10/Level_1.pkl,17.098930835723877,302,100
67,Test_2/Level_1.pkl,0.39908814430236816,58,20
68,Test_10/Level_0.pkl,14.24382209777832,301,100
69,Test_1/Level_1.pkl,0.18561363220214844,40,10
70,Test_6/Level_0.pkl,5.234562873840332,158,80
71,Test_11/Level_1.pkl,73.74860429763794,660,200
72,Test_5/Level_1.pkl,2.963620185852051,139,80
73,Test_3/Level_0.pkl,1.1229631900787354,81,50
74,Test_11/Level_0.pkl,39.85648202896118,374,200
75,Test_8/Level_1.pkl,5.551289081573486,220,80
76,Test_7/Level_0.pkl,4.354395866394043,192,80
77,Test_0/Level_0.pkl,0.0686490535736084,34,5
78,Test_3/Level_1.pkl,1.0966737270355225,129,50
79,Test_13/Level_0.pkl,281.8288269042969,773,400
80,Test_2/Level_0.pkl,0.3701202869415283,78,20
81,Test_4/Level_1.pkl,1.589972972869873,88,80
82,Test_6/Level_1.pkl,4.560595750808716,257,80
83,Test_0/Level_1.pkl,0.08630919456481934,38,5
84,Test_12/Level_1.pkl,83.610182762146,731,200
85,Test_8/Level_0.pkl,5.09473991394043,174,80
86,Test_13/Level_1.pkl,295.15089106559753,832,400
87,Test_0/Level_1.pkl,0.07761096954345703,38,5
88,Test_3/Level_1.pkl,0.847437858581543,109,50
89,Test_1/Level_0.pkl,0.09470510482788086,38,10
90,Test_7/Level_1.pkl,3.8937628269195557,201,80
91,Test_2/Level_1.pkl,0.3344709873199463,59,20
